,Tweet,Sentiment
1549, very poor limited staff for this No token Ppl are waiting hours of time in banks rather than office,displeasure
1550, dear hv been waiting my debit card since u hv blcked my crd I contemplate changing my salary fm you,displeasure
1551, No ATM down still on Ashok v nt or we dnt need cash to live,displeasure
1552, I wonder why there is no queue Jalgaon branch for exchange of branches at r overburdened,miscellaneous
1553, RT As part of its festive slashes rates to lowest in years http,miscellaneous
1554,,compliment
1555, very thank you,compliment
1556, please arrange any ladies queue for exchange the We are also humans We are also having,miscellaneous
1557, CSC people chrged xtra on deposit of csh thru bnk forced custmrs to bank by CSC,displeasure
1558, Why is struggling with been to beached an all are,displeasure
1559, SBI HAL branch Bengaluru cleared close to customers in an Staff was energetic even in evening,compliment
1560, Need Descipline,displeasure
1561, your site is not please do urgent,miscellaneous
1562, please look into it public suffering,displeasure
1563, Unable to activate new ATM Debit Card with OnlineSBI Error message coming Tried multiple,miscellaneous
1564, nice suggestion,compliment
1565, for nt being capable to serve in unfit to be a GoTo lol,displeasure
1566, Hi I am trying to book a flight from China but my RMN is from India hence I verify with OTP could you suggest,miscellaneous
1567, too many days per your instructions i have done email on still i hv not got rply,miscellaneous
1568, RT no customer care direct connect for complaint registration,displeasure
1569, not given to change old notes from the in surat branch code is This is injustice with,displeasure
1570, have no all displayed message of,displeasure
1571, not a singl atm is working in am standing in Sbi main branch in,displeasure
1572, Now no income for SBI BANK CSP HOLDER help us sir,displeasure
1573, currency was smooth as a song in Very well managed in Blr,compliment
1574, cr deposited in branches till now in and,miscellaneous
1575, In burdwan there is no atm is working after Please give us sollution,miscellaneous
1576, the biggest bank in the country should be taking similar measures to help the public in this special scenario,miscellaneous
1577, Why one needs to apply afresh for debit card of which validity expiring this Will it not be renewed,miscellaneous
1578, SBI CDMs not accepting old currency in,displeasure
1579, Have written to the Chairman of to look into this nexus and aurat to main dekh,displeasure
1580, just took me mins to withdraw cash empathetic staff,compliment
1581, have deposited cash in ur cdm of Aundh pune branch Its been Days the money havent been deposited,miscellaneous
1582, please refill ATMs in evening as Only few are working w,miscellaneous
1583, i just want the laziness and rude behaviour to be there is need of any legal action I will take,displeasure
1584, I went to ATM From the morning all are closed and I am said to stand in q to withdraw where I have an acc,miscellaneous
1585, EVERY SBI And already seen,displeasure
1586, Some banks like not allowing otr bank custmr withdrw money from Menace for of large banks like,displeasure
1587, Why All Atm Closed Of Yours At Gwalior City,displeasure
1588, Banks like are making money chargin intercity deposits,displeasure
1589, Please provide details to account holders of the ATM machines working respctve locations,miscellaneous
1590, then what to He is forcing me to purchase to me with that,miscellaneous
1591, sir why ur service is so,displeasure
1592, Thanks all the staff members of SBI who are working hard day n night,compliment
1593, to error is seen when we try to take cash with SBI Travel Whom to,miscellaneous
1594, sets up Currency Exchange counters at Meet for convenience of Foreign Delegates,miscellaneous
1595, Why you close down all your branches in the speaking states of the Union of,displeasure
1596, All your branches opening Not single ATM in Aurangabad operating and still remain,miscellaneous
1597, Why Banks operate mobile banks with security,miscellaneous
1598, Those who serve common public as bank staff are also serving Proud of selfless service,compliment
1599, congrats,compliment
1600, set non cooperative are not equipped to handle modern banking and,displeasure
1601, Pls start MOBILE ATM with rs notes for faster distribution of notes,compliment
1602, Please expedite the matter of my letter given to Service Manager of Nagerbazar Kolkata,miscellaneous
1603, The Worst Bank In The World Is They Are Saying Will Take More Days For ATMs,displeasure
1604, RT now these guys want merge our pride SBM n impose Hindi on foreign b,displeasure
1605, Not sure why this chaos created by All SBI ATMs not working in Gurgaon,displeasure
1606, what time ATM will open,miscellaneous
1607, RT Pl support to nab d gang n money back victim http,miscellaneous
1608, I staff at were helpful with special treatment for senior citizens,compliment
1609, mail already no response from ur,displeasure
1610, How true is that the rupee notes contain a nano gps chip to track the money There are many rumours on,miscellaneous
1611, I will await for the update from your,miscellaneous
1612, it says to visit What the Look at the lines out side of J,displeasure
1613, No action taken despite several Both in the branch and thru phone I am PMing the of,displeasure
1614, online banking portal is not working,displeasure
1615, in front of since but bank not yet open,displeasure
1616, RT haha I didnt even bother to enter the SBI branch,miscellaneous
1617, Despite knowing RBI manager at SBI sec noida closed branch said talk to RBI we hav done working hrs,displeasure
1618, none of your arms worked in godbunder area after pm,displeasure
1619, What is status of ticket Tell me why does my sign require while depositing cheque on my name in non home,miscellaneous
1620, shd city cash deposit since each cant go to their home branch,miscellaneous
1621, kudos to Other banks like should also wake up,displeasure
1622, still no cash in maximum atms in,displeasure
1623, req u to reapond on my Email from,miscellaneous
1624, Not one working in Lower branch say cash do I get,displeasure
1625, SMS alert are being received for withdrawals but not for,displeasure
1626, big thank you to all banking people Hatsoff,miscellaneous
1627, Thanks for your We Kannadigas would close our accounts in your,displeasure
1628, RT This statement frm chairperson is Reason for most chaos Sarkari will remain sarkari,displeasure
1629, Updates,miscellaneous
1630, None of them start loading cash in night times,displeasure
1631, day of mega still no ATM has opened BRANCH,displeasure
1632, Make mandatory to sign photocopy of ID for cash exchange,miscellaneous
1633, RT Till date I thought u were State Bank Of but I was Its State bank of Hindia,miscellaneous
1634, none of matrix is able to Only matrix now left is consumer,miscellaneous
1635, You can get in touch with them through their Twitter handle or their website,miscellaneous
1636, Almost about calls since morning to internet helpline Cannot get,displeasure
1637, Can the intercity cash deposit charge be exempted for few days,miscellaneous
1638, pl confirm wen will the ATM START Functioning,miscellaneous
1639, Great work by all so bank and banker working todya,compliment
1640, Lesson yuck but makes a valid point abt Our Currency,miscellaneous
1641, Pse set up portable PoS at ATM site for two,miscellaneous
1642, With SBI collecting on use of Debit Card as DOM tips how cashless economy will emerge,miscellaneous
1643, this is true reason SBI profit felldown by Poor customer No one knows bothers about resolving,displeasure
1644, RT online sbi website is,miscellaneous
1645, If this is please ask Cent Govt to rule out all langs other than English Hindi thru,miscellaneous
1646, SBI extends business hours to help customers,miscellaneous
1647, Please check the complaint locations Max complaints of ATMs,displeasure
1648, this resembles a run on banks similar to what happened to a pauper and broke country like,miscellaneous
1649, happy with the way your oragadam branch employees r handling just took min in line n min on counter,compliment
1650, installed Mobile ATM at AIIMS what etc doing,miscellaneous
1651, I think bank extended working hours from AM to How long we have to,displeasure
1652, The banks were suppose to open at AM but our branch is still not open y,displeasure
1653, buy Mutual Funds at todays because your netbanking was not working,displeasure
1654, When it was say by that banks will have multiple counters then why it there,displeasure
1655, Today its confirm Will old Notes of n will be deposited in CDM,miscellaneous
1656, Plz hire retired ppl for note more counters huge inconvenience for,displeasure
1657, In Total Deposits are about Rs Cr in One half I imagine rest of days,displeasure
1658, None of the is working in my When will it,miscellaneous
1659, Do it fast in what you are We know ur BT try to understand all other public problem and do,miscellaneous
1660, and you people sit inside act like you We are paying your taxes and you care why not stand,displeasure
1661, This is only performa do really as Arundhati claiming away from,displeasure
1662, Bad not accepting exchange to a If he has done for hrs in What a,displeasure
1663, what the hell is going Waiting for two hours n then the officials are saying khatam Kal,displeasure
1664, no cash in ATM of sbi fooling people worst services,displeasure
1665, ATM is still not New complaint raised today look into it as this is causing severe trouble,displeasure
1666, some and ATM are closed and have cash in ATMs What is happening,displeasure
1667, just an eye wash to hold,miscellaneous
1668, Send any amount to any bank account like sending,miscellaneous
1669, How to exchange Old Currency notes please Help me,miscellaneous
1670, Its am stil gate not open of Sbi Hojai bazar branch public suffrng,displeasure
1671, pl note these landline numbers given in website do not they changed years I hv,miscellaneous
1672, We are working to enable SBI on,miscellaneous
1673, My account number is contact number,miscellaneous
1674, kiosk procedure,miscellaneous
1675, I have blocked my debit card few days before How do I unblock it again or should I apply for a new card,miscellaneous
1676, how to open a minor account for my newborn I am an existing customer of SBI,miscellaneous
1677, Do not make us fool if you really wish inform all your branches to provide at list drinking water,displeasure
1678, your fix deposit interest rate is lower than others bank,displeasure
1679, received Rs crore deposits on day,compliment
1680, Are you Hacked or What Server,displeasure
1681, Mobile ATMs will bring huge relief if you bring them on,displeasure
1682, Here in Telco colony Jamshedpur still all shutters of your ATM are d case of,displeasure
1683, banks are not open yet pls do needful,displeasure
1684, Why u start selling EDC Machine to small business to increase bank Busniess and cashless,miscellaneous
1685, No proper no bank official knows pathetic situation at Kakinada Treasury Branch,displeasure
1686, Banking with u is a borderline ur call centres only ask visit d ur staff gives half total,displeasure
1687, entertaining ONLY der CUSTOMERS for denomination,displeasure
1688, doing service in very poor way ignores all other basic projecting themselves busy all the,displeasure
1689, your onlinesbi page doesnt even open today and you claim of smooth totally useless,displeasure
1690, Ldh giving cash to only own customers,displeasure
1691, Appreciate service of refilling atms wen so cald largst havent opnd atm once,compliment
1692, Looks like some of ur bank managers are xchanging higher values of currency with,displeasure
1693, Hello guys what happened to my complaint about update mobile no,displeasure
1694, Sir blamed Bank to be responsible for Exserviceman n Bank SBI is forcing me to become,displeasure
1695, There is no revert what i should consider now,miscellaneous
1696, I am not getting the link u plz Also I have Kit for online,miscellaneous
1697, is your website passport payment continuously,displeasure
1698, please enable UPI payment in all,displeasure
1699, is it possible to waive handling was depositing back the withdrawn money to my after PM,miscellaneous
1700, dm me Customer care Of SBI buddy app My money has not been credited in my accout which is refunded,displeasure
1701, Dear Give instructions to issue Instant Debit Cards teach people how to use,miscellaneous
1702, RT Early Morning when I Used your site We are experiencing network Apologise for the inconv,displeasure
1703, RT talked to several persons who wer in exchange queue of old Hindi form wud ease their,displeasure
1704, I have Net banking Thank you so an to your chairman,miscellaneous
1705, They have to exchange lks crores when will they do it,miscellaneous
1706, at branch,miscellaneous
1707, still your Allahabad main branch is not open,displeasure
1708, already withdrawn through,compliment
1709, u want money frm etc bt will respond only in in our lang else quit,displeasure
1710, The instigators of violence may be AAP Police to is from Shameless pigs,displeasure
1711, Please FUCK You are fit to serve handi speaking paan stained yellow teeth,displeasure
1712, I hope it,miscellaneous
1713, Specially,miscellaneous
1714, SBI is the strongest banking sector but facilities are just deteriorating in case of customer handling in,displeasure
1715, I have been charged approx Rs for four note,displeasure
1716, Hiranandani has not given possession in his project HFC Panvel since We are doomed Hard earned money lost Bad,displeasure
1717, RT branch saw a big queue today with Vinod Dushyanat Santosh Ramesh Bidhu,miscellaneous
1718, You can get in touch with them through their Twitter handle or their website,miscellaneous
1719, please open the gate,miscellaneous
1720, really Fed,displeasure
1721, pl see the specific,displeasure
1722, Dear Shameless masters at SBI have some shame or iota of,displeasure
1723, bank not allowing withdrawl of money without out of station and left with no Why rules at this,displeasure
1724, why foreigner without bank acc exchange their money if less thn as the scheme,miscellaneous
1725, Wow getting reply after,displeasure
1726, This is causing immense hardships to customers like Where do I collect my PIN Solicit urgent,displeasure
1727, ATM transactions were waived off till December Is this,miscellaneous
1728, already done that at transferee No response from home branch,displeasure
1729, applied for a new card a month ago after you blocked it for no Still not no cash or card at a time like,displeasure
1730, In SBI Nambol manager said me to deposit the amt at home branch which is presently at Gate Way of India,miscellaneous
1731, Is there any way for NRI to exchange bills of Does your overseas branch support exchange of,miscellaneous
1732, Long Qs banks hope prioritization families of patients with documents,miscellaneous
1733, do your duty properly,displeasure
1734, Is This Necessary To Purchase A Mutual Fund While Opening An Pls Rply I M Facing This Problem While Opening An,miscellaneous
1735, nothing will daay new your officer is on leave for days,miscellaneous
1736, at Dhulagori branch ATM still not siders how will draw money,displeasure
1737, Seven employees killed in road mishap,miscellaneous
1738, PPF premature withdrawal is still not Kindly AED Blore,miscellaneous
1739, Appreciate the unrelenting work by But way long to,compliment
1740, I myself withdrawn money by standing only No decision is,compliment
1741, I understand but what about ATM no cash,displeasure
1742, PSBs on usual lethargic,displeasure
1743, Just saw a news on tv Few political party people are talking about coming serving water and help to people standing,miscellaneous
1744, when ur branches are going to open the Branches have new cash but they put cash in This is,displeasure
1745, Just been told violence has broken out in an branch in Police Ridiculous,miscellaneous
1746, the newsreport declaring the same,miscellaneous
1747, bank demands for extra money for reducing interest rates in housing,displeasure
1748, RT Wanna Slap you no response till see the branch during official working hours,displeasure
1749, Same situation in evening Making fool of ATM is not working still,displeasure
1750,,displeasure
1751, hi My debit card is not working,displeasure
1752, Why are Appreciate your drive but why should suffer for,displeasure
1753, RT can you ensure that ATMs not in branches also work,miscellaneous
1754, What is the status of the pension loan for ex services How much loan one Docs time to refund,miscellaneous
1755, Today Not a single new Money in any bank atm in New Delhi,displeasure
1756, please extend the banking hours upto Your branch closed at,displeasure
1757, RT I agree with public but respo,displeasure
1758, RT Appeal to govt bank employees plz dont go for long lunch hours as u usually go,displeasure
1759, Maximum limit of free cash transactions at ATM should be,miscellaneous
1760, ATMs CANT RUN DRY BUCK UP CAN DO IT,compliment
1761, Lost printout of How can I get it and how can it impact my Please,miscellaneous
1762, No issues we are with you during such a chaotic,compliment
1763, someday revolution definitely happens dz partisan view big fishes at d cost of cmn U wl definitely feel d heat,compliment
1764, RT Please advice what NRIs should do with their old SBI New York branch helping with,miscellaneous
1765, Hmm Are Cash Depositing Machines Are going to be operational along wid the ATM Do u mind answering,miscellaneous
1766, SBI branch nawada ara code here is telling that without SBI account we cannot change money of RS and RS,miscellaneous
1767, online Internet banking registration working Page not many times,displeasure
1768, All the You may tag senior management as well,miscellaneous
1769, hw will I survive if evn internet is all jamme,miscellaneous
1770, thats how branch has closed bank iron cash happen,displeasure
1771, Then denied to issue my card unless and until i get the pass have to make neceesary formalities for pb issuance as,displeasure
1772, sir sbi atm at hauz khas metro Delhi not working at all since,displeasure
1773, Nome of the ATMs of working in Marathahalli Beng,miscellaneous
1774, finally deposited,miscellaneous
1775, ATM shutters are down in For but this needs fixing asap,displeasure
1776, can anyone deposit cash in customer service point fund settlement or letter of authority is mandatory,miscellaneous
1777, Thanks to entire banking staff for working on holidays and helping people,compliment
1778, able to login believe the problem has been anyway,compliment
1779, Most of the ATMs is still not Even in Desperately waiting for,displeasure
1780, thanks for your prompt revert,compliment
1781, sir I have already said elaborately in the file I have you found,displeasure
1782, sake incrse d countrs frm d regulr in munnekolalu brnch Blore atleast when u know ppl throng note,displeasure
1783, SBI personnel extra hard work since I request u to award each personnel Thanks,compliment
1784, I have already lodge written complaint in branch Frequently I have to lodge complnts Cant be investigated at ur end,displeasure
1785, in ATM in Mayur Vihar no or machine not working tl,displeasure
1786, I confirmed it with SBI marol branch The lady told me it will take months from Contact your home,displeasure
1787, not single CDS or ATM machine is working in is out of Why,displeasure
1788, thought you should know,displeasure
1789, I can see most students suffering u can help out,displeasure
1790, when told cashier and manager that I will complain both make fun of me Go and I want to see tak pahunch h,displeasure
1791, is the limit for cash withdrawal at foreign atms too is equivalent of only INR per,miscellaneous
1792, RT Please tell your staff not to keep ATMs empty during Why they refill it in the late eveni,miscellaneous
1793, the chowkidaars in ur branch has more sayvthen ur branch they know how to behave with,displeasure
1794, SBI DHUBRI BRANCH has shut there door at clock without any formal,miscellaneous
1795, First hand experience of the process took but was smooth at and,compliment
1796, also bank people seeing that you are responsible for losses have you thought of forgoing COMFORTS AND,miscellaneous
1797, webdevlpr makin tool social cause to reduce deposit queue is,miscellaneous
1798, bank shutdown only for customers,displeasure
1799, Thanks Snacks distribution for people waiting in queue by order,compliment
1800, RT This response from is same as Please talk Hindi English else get This is not your co,displeasure
1801, hope your main branch should be open at time at am in Allahabad,miscellaneous
1802, they dont have the readiness yet to deal with the situation,displeasure
1803, all other banks Writing from pratap nagar jaipur raj I know it is hard time for bank employees so its just a request,miscellaneous
1804, please enable UPI payment in all,miscellaneous
1805, SBI NM Branch refused to accept the exchange of high denomination for non account holders,displeasure
1806, she is most powerful may be outside but not within Even after complaining to n,displeasure
1807, RT All in are Manager of the branch is Huge in,miscellaneous
1808, Thank you for the Services,compliment
1809, I got msg tht u need to aadhar card while i submitted at SBI no given by can i know the status,miscellaneous
1810, registed a complaint as said but within hours it was closed with resolution stating,miscellaneous
1811, Took one stroke all money with banks huge corpus projects of Adanis Ambanis watsay,miscellaneous
1812, RT Ticket completed as per ur process will see wt action u guys will take against Mr,miscellaneous
1813, I am not getting OTP to my mobile as I have to pay credit card Even no OTP for state bank secure OTP registration,miscellaneous
1814, Its only in banks in India might have received how much,miscellaneous
1815, Wanna Slap you no response till see the branch during official working hours,displeasure
1816, great move poorly cash in Vegetable guy accept CC or,displeasure
1817, Do not shut down ATMs if note is not compatible with Please use other denomination notes and keep ATMs functional,miscellaneous
1818, ATMs near suraj water park thane,displeasure
1819, IE news item claims official informing them that has not provided cash for TN,displeasure
1820, are not working is a major problem across India Need to do something urgently,displeasure
1821, entry only added to the chaos with so many security guards inside the already crowded,displeasure
1822, after announcement also its still closed,displeasure
1823, is the ticket number and they sent a atrocious reply and closed my,displeasure
1824, When will public be avilable to deposit cash and withdraw them from SBI atms tym will be atms be,displeasure
1825, says they computed right pension of Subedar Grewal as records given by Defense wht is next,displeasure
1826, sir achnera sbi branch I deposit my cash but no working in,displeasure
1827, and best,compliment
1828, life certificate online registration process of EPF pensioners not happening in east,miscellaneous
1829, Media claiming that informed them has not given them Cash in TN so,displeasure
1830, Your PBB T Nagar Chennai unable to pay cash of even Rs visits Poor,displeasure
1831, ATM closed in,displeasure
1832, No que at all was very Heres the snap of my first,compliment
1833, RT Indian banks have,displeasure
1834, ToEvening SBI closed Why not opened till,displeasure
1835, cheers to All Banks who are tirelessly helping,compliment
1836, Mother is in hospitle cash req medicin nd get cash on time at sbi help,miscellaneous
1837, Would be good to know the number of unique depositors till date,miscellaneous
1838, As askd lodged complaint portal for clarification on y ID proof is rqrd cheque cash withdrawals min dys to solve issue,displeasure
1839, page is stuck what to,miscellaneous
1840, I am from a small town in In our town SBI bank shuts by instead of are facing Plzz help,displeasure
1841, Great for the country and bad for corrupt,compliment
1842, Pls Refill at night also to resolve liquidity people will be happy,displeasure
1843, Shame on you for this down all your branches in speaking states then if this the service you provide,displeasure
1844, Nd the for available just next to SBI local shop for RS Branch name Ashoka Garden ACTION rqrd,displeasure
1845, the sbi branch in patel ptna closed by They are really,displeasure
1846, what is safety and security of money in,miscellaneous
1847, Just look these frauds also no one is addressing lethargic staff at see how Sr citizens,displeasure
1848, haha I didnt even bother to enter the SBI branch,miscellaneous
1849, how can I do UPI transactions with SBI,miscellaneous
1850, i have visited my home branch for deposit money staff will not accept money in green,displeasure
1851, If you go against top leaders of National parties will be mind the level of,miscellaneous
1852, Hats off bank officials who r managing such a massive unplanned,compliment
1853, they have not at all functioned I dont think they have been,displeasure
1854, First protect our Debit cards U can advertise,displeasure
1855, CHOWKIHOLA Serving with only a single window for exchange and withdrawal of money which is not,displeasure
1856, In USA Have rupee No one is Even of Chicago denied to accept What should I,miscellaneous
1857, Dear SBI ur none of the ATM has been made operational in Leave none of the bank ATM,displeasure
1858, RT What about the Current Account holders who has a daily deposit system for the,miscellaneous
1859, help the started R D,miscellaneous
1860, ATM at Lalpania near SBI branch is not opened today at People in panic for small,displeasure
1861, site is No had Could you please bring the site,displeasure
1862, here they are giving in UP,miscellaneous
1863, RT there is no At bersarai Please students are depress,displeasure
1864, can u plz confirm the opening closing tym of d branches today n tomorrow n whether brnchs r open on,miscellaneous
1865, do you take DD requests,miscellaneous
1866, EMI was cling branch but no other brach accpets no reply i have to pay intrest,displeasure
1867, Huge crowd outside SBI Pithoragarh know whn should I go to convert my money,displeasure
1868, their promoting Raised but no,displeasure
1869, please bring a rule that ATM should be refilled with cash within hours of ATM becoming,displeasure
1870, I really appreciate ur step but dont expect this to happen dry ATMs are,displeasure
1871, your bank has wasted my precious time want just want people who are responsible for this get punished,displeasure
1872, Earlier I always heard abt scams worth thousand of time I heard on news that people have deposited cr in,miscellaneous
1873, RT lost hard Leaves cancelled for family Injustice done,displeasure
1874, ATM Not functional I am told inspire of cash being loaded the ATM has not resumed,displeasure
1875, RT,miscellaneous
1876, TV who will respect the INR if it can be demonetised with just a notification in the Gazette,displeasure
1877, Very nice to know are supporting Govt decision on by extending work,compliment
1878, No change is U r the worst Bank No,displeasure
1879, You can get in touch with them through their Twitter handle or their website,miscellaneous
1880, i m talking about Adb branch Kindly take necessar y actions,miscellaneous
1881, is saying that if u exchange money today u exchange for next kindly sort out this issue do the,displeasure
1882, No cash available for Sr citizen at Post Off gulmohar park,displeasure
1883, Recharged my Vodafone number but get in and bank balance also got reduced by the recharge amount Please help,displeasure
1884, instead of help they try to give lathi charge security personal and staff member are help to there relatives,miscellaneous
1885, RT Too much line there,displeasure
1886, but your other branches are harassing the customers by way of closing the entry gate early hour before,displeasure
1887, BOB ISSUED DEMAND DRAFT RETURNED SHAME ON,displeasure
1888, Due to the obligation in duties of the government people are facing lots of difficulties during withdrawal money from,displeasure
1889, Thank you SBI for your Service,compliment
1890, SBI charging rupees per transaction for deposits This is not Pl,displeasure
1891, near my none open till date,displeasure
1892, The Vigilance Week with Bhubaneswar,miscellaneous
1893, Disgraceful that a native language is treated as non,displeasure
1894, Heavy inflow of cash out of the new order wrt the currency will strengthen the Liquidity,compliment
1895, how much money can we withdraw using cheque,miscellaneous
1896, s near my house r out of order by pm,displeasure
1897, congrates,compliment
1898, RT From close I got to know that letters or circulars sent to Managers of banks in region a,miscellaneous
1899, waiting for your response,miscellaneous
1900, as per RBI eng customer has a right to communicate in Indian Your response is racist n,displeasure
1901, Also the bank staff can expedite the verification of Customers in queue make entry,miscellaneous
1902, Opposition guys like trying to milk the,displeasure
1903, Transferred money hours back is still not showing in the Whats,displeasure
1904, day still atm machines r nt us withdrawl our own,displeasure
1905, unfortunately the branch as well as the customer care have both expressed their inability in helping me add two aadhar,displeasure
1906, RT I congratulate staff for getting this transition transformat,compliment
1907, I have not got my net banking password even after getting user A c mob,displeasure
1908, OK loaded No problem,miscellaneous
1909, Please make sure all counters are functional,miscellaneous
1910, this I tried to to Mobikwik and But it was failed and I received this,displeasure
1911, I visited sbi mauna pakadi branch for depositing amount bm of denied to provide I hve mentd s,displeasure
1912, Sbi bank branch closed sidharth extension,miscellaneous
1913, Most of the ATMs were empty today as Pls arrange more frequent refills atleast from tomorrow,displeasure
1914, sbi jaise bank officials just say one word,displeasure
1915, to email with subject for extending repayment period of Education Loan,miscellaneous
1916, i have submitted no of no results r,displeasure
1917, thanks but your ATM shutters are down support similar story for,displeasure
1918, In lucknow no SBI ATM has been opened till,displeasure
1919, RT lost hard Leaves cancelled for family Injustice done,displeasure
1920, ATM Not functional I am told inspire of cash being loaded the ATM has not resumed,displeasure
1921, RT,miscellaneous
1922, TV who will respect the INR if it can be demonetised with just a notification in the Gazette,displeasure
1923, Very nice to know are supporting Govt decision on by extending work,compliment
1924, No change is U r the worst Bank No,displeasure
1925, You can get in touch with them through their Twitter handle or their website,miscellaneous
1926, i m talking about Adb branch Kindly take necessar y actions,miscellaneous
1927, is saying that if u exchange money today u exchange for next kindly sort out this issue do the,displeasure
1928, No cash available for Sr citizen at Post Off gulmohar park,displeasure
1929, Recharged my Vodafone number but get in and bank balance also got reduced by the recharge amount Please help,displeasure
1930, instead of help they try to give lathi charge security personal and staff member are help to there relatives,miscellaneous
1931, RT Too much line there,displeasure
1932, but your other branches are harassing the customers by way of closing the entry gate early hour before,displeasure
1933, BOB ISSUED DEMAND DRAFT RETURNED SHAME ON,displeasure
1934, Due to the obligation in duties of the government people are facing lots of difficulties during withdrawal money from,displeasure
1935, Thank you SBI for your Service,compliment
1936, SBI charging rupees per transaction for deposits This is not Pl,displeasure
1937, near my none open till date,displeasure
1938, The Vigilance Week with Bhubaneswar,miscellaneous
1939, Disgraceful that a native language is treated as non,displeasure
1940, Heavy inflow of cash out of the new order wrt the currency will strengthen the Liquidity,compliment
1941, how much money can we withdraw using cheque,miscellaneous
1942, s near my house r out of order by pm,displeasure
1943, congrates,compliment
1944, RT From close I got to know that letters or circulars sent to Managers of banks in region a,miscellaneous
1945, waiting for your response,miscellaneous
1946, as per RBI eng customer has a right to communicate in Indian Your response is racist n,displeasure
1947, Also the bank staff can expedite the verification of Customers in queue make entry,miscellaneous
1948, Opposition guys like trying to milk the,displeasure
1949, Transferred money hours back is still not showing in the Whats,displeasure
1950, day still atm machines r nt us withdrawl our own,displeasure
1951, unfortunately the branch as well as the customer care have both expressed their inability in helping me add two aadhar,displeasure
1952, RT I congratulate staff for getting this transition transformat,compliment
1953, I have not got my net banking password even after getting user A c mob,displeasure
1954, OK loaded No problem,miscellaneous
1955, Please make sure all counters are functional,miscellaneous
1956, this I tried to to Mobikwik and But it was failed and I received this,displeasure
1957, I visited sbi mauna pakadi branch for depositing amount bm of denied to provide I hve mentd s,displeasure
1958, Sbi bank branch closed sidharth extension,miscellaneous
1959, Most of the ATMs were empty today as Pls arrange more frequent refills atleast from tomorrow,displeasure
1960, sbi jaise bank officials just say one word,displeasure
1961, to email with subject for extending repayment period of Education Loan,miscellaneous
1962, i have submitted no of no results r,displeasure
1963, thanks but your ATM shutters are down support similar story for,displeasure
1964, In lucknow no SBI ATM has been opened till,displeasure
1965, is the news of the nd notes ban get if so then what,miscellaneous
1966, probably you may also start to accept pension transfer application in the home branch itself in cas,miscellaneous
1967, RT If this the we do not want you in,displeasure
1968, Yes it will be the good medium of communication,miscellaneous
1969, request u to kindly take some action and help me solve my,miscellaneous
1970, main problem is lack of No one knows when all atms will function normally,miscellaneous
1971, are SBI customer care representatives of them told I can not get DD issued from Any SBI branch except home branch,displeasure
1972, The two atm at chandannagar e corner are out of cash and cdm not working from take action,displeasure
1973, no atms working in,displeasure
1974, will the notes be exchanged at US branches I stay in outskirts of will SBI Chicago branch be able to,miscellaneous
1975, in vadodara gujarat sbi bank branch warsiya harni treat very badly to customer told to close at help,displeasure
1976, Wht is this line and I dnt need money n exchange I wnt my nearest sbi brnch i went for drop my cmpy,miscellaneous
1977, sirji no customer complaints registrant in SBI,miscellaneous
1978, orwarded the email chain to above U can see the entire complaint and even the disappointing inaction by SBI,displeasure
1979, ATMS at same location with no ASAP Company Junction Thane,miscellaneous
1980, is CDM ready for deposit,miscellaneous
1981, good for nation at large is this but reports of rising deposits prior by,compliment
1982, We are very proud to have as our main sponsors at the Thank,miscellaneous
1983, You can get in touch with them through their Twitter handle or their website,miscellaneous
1984, x Rs No hassles Easy thanks,compliment
1985, Would ask the banks to display live status of,displeasure
1986, sakinaka andheri east branch says they are out of dont have proper management,displeasure
1987, hw sbi credit card ppl sit inside the bank posing be bank,miscellaneous
1988, Fight Against Black collects crore in,miscellaneous
1989, these photos were taken at PM were suffering as they were from other state left with,displeasure
1990, whats the use of tweet when ur SBT is reluctant to obey guidelines by not issueing by cheque,displeasure
1991, this specific to SBI PBB Deleting tweet so that no misuse is made of it,displeasure
1992, Hi How to enable my Debit card for international,miscellaneous
1993, Because of the partiality done by him and his rude,displeasure
1994, Will be waiting BANK,miscellaneous
1995, Please try to understand if your branch manager support people and added Money in ATM people easily get,displeasure
1996, Whenever transacting thru in Petrol Pumps a DOM Charge is levied Y so,displeasure
1997, Banks should prioritise ATM in hospital premises ensure frequent refills,miscellaneous
1998, please start a separate desk for very poor people for opening new accounts and for depositing their money n also issue rupay,miscellaneous
1999, now its working,miscellaneous
2000, new note of Rs Rs in banks nt avaialble only Rs situation become more difficult for common man,displeasure
2001, already months How much time If SBI needs months to investigate whats the,displeasure
2002, Despite Orders Vastrapur AMD branch opens at and closes at WhyM,displeasure
2003, SBI cgroad branch is very the worst answer from employees given to customers,displeasure
2004, decision taken by RBI govt of India,miscellaneous
2005, u r not customer nor high net,miscellaneous
2006, Can you please look in Complaint I took the required steps after But the branches did,displeasure
2007, Someone wrote happened in SBI ING doing far worse,displeasure
2008, SBI Royapeta Branch closed now IFSC Please take the action,miscellaneous
2009, by the what about your poor quarterly financial,miscellaneous
2010, STARTUP loan rejected by SBI Minapur Branch Manager,miscellaneous
2011, How long Will it take,displeasure
2012, RT Convert your or debit card points into MobiKwik wallet Click,compliment
2013, I do appreciate all your efforts but this is real crisis situations and we need better service from,miscellaneous
2014, closed at and saying bank will open till nonsence,displeasure
2015, i did cash exchange upto myself,compliment
